,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
3235,Ken Murray,1951,1955,G-F,6-2,190.0,April 20 1928,St. Bonaventure,murrake01
3236,Lamond Murray,1995,2006,F,6-7,236.0,April 20 1973,California,murrala01
3237,Ronald Murray,2003,2010,G,6-4,190.0,July 29 1979,Meridian Community College Shaw,murraro01
3238,Tracy Murray,1993,2004,F,6-7,225.0,July 25 1971,UCLA,murratr01
3239,Willie Murrell,1968,1970,F,6-6,225.0,September 13 1941,Eastern Oklahoma State College Kansas State,murrewi01
3240,Dorie Murrey,1967,1972,F-C,6-8,215.0,September 7 1943,Detroit Mercy,murredo01
3241,Toure' Murry,2014,2015,G-F,6-5,195.0,November 8 1989,Wichita State,murryto01
3242,Dzanan Musa,2019,2020,G-F,6-9,217.0,May 8 1999,,musadz01
3243,Mike Muscala,2014,2023,F-C,6-10,240.0,July 1 1991,Bucknell,muscami01
3244,Angelo Musi,1947,1949,G,5-9,145.0,July 25 1918,Temple,musian01
3245,Jerrod Mustaf,1991,1994,F-C,6-10,238.0,October 28 1969,Maryland,mustaje01
3246,Dikembe Mutombo,1992,2009,C,7-2,245.0,June 25 1966,Georgetown,mutomdi01
3247,Martin Muursepp,1997,1998,F,6-9,235.0,September 26 1974,,muursma01
3248,Pete Myers,1987,1998,G-F,6-6,180.0,September 15 1963,Little Rock,myerspe01
3249,Svi Mykhailiuk,2019,2023,G-F,6-7,205.0,June 10 1997,Kansas,mykhasv01
3250,Hamady N'Diaye,2011,2014,C,7-0,235.0,January 12 1987,Rutgers University,ndiayha01
3251,Makhtar N'Diaye,1999,1999,F,6-8,245.0,December 12 1973,Michigan UNC,ndiayma01
3252,Mamadou N'Diaye,2001,2005,C,7-0,255.0,June 16 1975,Auburn,ndiayma02
3253,Boniface N'Dong,2006,2006,C,7-0,198.0,March 9 1977,,ndongbo01
3254,Bob Naber,1953,1953,F,6-3,185.0,September 3 1929,Louisville,naberbo01
3255,Boris Nachamkin,1955,1955,F,6-6,210.0,December 6 1933,NYU,nachabo01
3256,Bostjan Nachbar,2003,2008,F,6-9,221.0,July 3 1980,,nachbbo01
3257,Abdel Nader,2018,2022,F,6-5,225.0,September 25 1993,Northern Illinois Iowa State,naderab01
3258,Jerry Nagel,1950,1950,G,6-0,190.0,May 18 1928,Loyola Chicago,nagelje01
3259,Fritz Nagy,1949,1949,G-F,6-2,185.0,January 3 1924,University of Akron,nagyfr01
3260,Lee Nailon,2001,2006,F,6-9,238.0,February 22 1975,Butler County Community College TCU,nailole01
3261,Eduardo Najera,2001,2012,F,6-8,240.0,July 11 1976,Oklahoma,najered01
3262,Larry Nance,1982,1994,F-C,6-10,205.0,February 12 1959,Clemson,nancela01
3263,Larry Nance Jr.,2016,2023,F-C,6-7,245.0,January 1 1993,Wyoming,nancela02
3264,Shabazz Napier,2015,2020,G,6-0,175.0,July 14 1991,UConn,napiesh01
3265,Paul Napolitano,1949,1949,F-G,6-2,185.0,February 3 1923,San Francisco,napolpa01
3266,Bob Nash,1973,1979,F,6-8,195.0,August 24 1950,San Jacinto College Hawaii,nashbo01
3267,Cotton Nash,1965,1968,F,6-5,215.0,July 24 1942,Kentucky,nashco01
3268,Steve Nash,1997,2014,G,6-3,195.0,February 7 1974,Santa Clara,nashst01
3269,Swen Nater,1974,1984,C,6-11,240.0,January 14 1950,Cypress College UCLA,natersw01
3270,Howard Nathan,1996,1996,G,5-11,175.0,January 21 1972,DePaul Louisiana-Monroe,nathaho01
3271,Calvin Natt,1980,1990,F,6-6,220.0,January 8 1957,Louisiana-Monroe,nattca01
3272,Kenny Natt,1981,1985,G,6-3,185.0,October 5 1958,Louisiana-Monroe,nattke01
3273,Willie Naulls,1957,1966,F-C,6-6,225.0,October 7 1934,UCLA,naullwi01
3274,Juan Carlos Navarro,2008,2008,G,6-3,170.0,June 13 1980,,navarju01
3275,Maurice Ndour,2017,2017,F,6-9,200.0,June 18 1992,Ohio University,ndourma01
3276,Craig Neal,1989,1991,G,6-5,165.0,February 16 1964,Georgia Tech,nealcr01
3277,Gary Neal,2011,2017,G,6-4,210.0,October 3 1984,La Salle Towson University,nealga01
3278,Jim Neal,1954,1955,C,6-11,235.0,May 21 1930,Wofford College,nealji01
3279,Lloyd Neal,1973,1979,C-F,6-7,225.0,December 10 1950,Tennessee State,nealll01
3280,Ed Nealy,1983,1993,F,6-7,238.0,February 19 1960,Kansas State,nealyed01
3281,Nemanja Nedovic,2014,2014,G,6-3,192.0,June 16 1991,,nedovne01
3282,Al Negratti,1947,1947,F-C,6-3,200.0,June 12 1921,Seton Hall,negraal01
3283,Barry Nelson,1972,1972,C,6-10,230.0,September 19 1949,Duquesne,nelsoba01
3284,DeMarcus Nelson,2009,2009,G,6-4,200.0,November 2 1985,Duke,nelsode01
3285,Don Nelson,1963,1976,F,6-6,210.0,May 15 1940,Iowa,nelsodo01
3286,Jameer Nelson,2005,2018,G,6-0,190.0,February 9 1982,Saint Joseph's,nelsoja01
3287,Louie Nelson,1974,1978,G,6-3,190.0,May 28 1951,Washington,nelsolo01
3288,Ron Nelson,1971,1971,G,6-2,175.0,October 7 1946,New Mexico,nelsoro01
3289,Andrew Nembhard,2023,2023,G,6-5,193.0,January 16 2000,Florida Gonzaga,nembhan01
3290,RJ Nembhard Jr.,2022,2022,G,6-5,200.0,March 22 1999,TCU,nembhrj01
3291,Ruben Nembhard,1997,1997,G,6-3,208.0,February 20 1972,Weber State,nembhru01
3292,Dick Nemelka,1971,1971,G,6-0,175.0,October 1 1943,BYU,nemeldi01
3293,Tyrone Nesby,1999,2002,F,6-6,225.0,January 31 1976,Vincennes University UNLV,nesbyty01
3294,Aaron Nesmith,2021,2023,G-F,6-5,215.0,October 16 1999,Vanderbilt,nesmiaa01
3295,Martin Nessley,1988,1988,C,7-2,260.0,February 16 1965,Duke,nesslma01
3296,Rasho Nesterovic,1999,2010,C,7-0,248.0,May 30 1976,,nestera01
3297,Raul Neto,2016,2023,G,6-1,180.0,May 19 1992,,netora01
3298,Bob Netolicky,1968,1976,F-C,6-9,220.0,August 2 1942,Drake University,netolbo01
3299,Johnny Neumann,1972,1978,G-F,6-6,200.0,September 11 1951,Ole Miss,neumajo01
3300,Paul Neumann,1962,1967,G,6-1,175.0,January 30 1938,Stanford,neumapa01
3301,Chuck Nevitt,1983,1994,C,7-5,217.0,June 13 1959,NC State,nevitch01
3302,Melvin Newbern,1993,1993,G,6-4,200.0,June 11 1967,Minnesota,newbeme01
3303,Ivano Newbill,1995,1998,F,6-9,245.0,December 12 1970,Georgia Tech,newbiiv01
3304,Ira Newble,2001,2008,F,6-7,220.0,January 20 1975,Miami University,newblir01
3305,Mike Newlin,1972,1982,G-F,6-4,200.0,January 2 1949,Utah,newlimi01
3306,Johnny Newman,1987,2002,F-G,6-7,190.0,November 28 1963,Richmond,newmajo01
3307,Malik Newman,2020,2022,G,6-3,190.0,February 21 1997,Mississippi State Kansas,newmama01
3308,Dave Newmark,1969,1971,C,7-0,240.0,September 11 1946,Columbia University,newmada01
3309,Bill Newton,1973,1974,C,6-9,220.0,December 22 1950,LSU,newtobi01
3310,Georges Niang,2017,2023,F,6-7,230.0,June 17 1993,Iowa State,niangge01
3311,Demetris Nichols,2008,2009,F,6-8,216.0,September 4 1984,Syracuse,nichode01
3312,Jack Nichols,1949,1958,C-F,6-7,222.0,April 9 1926,Washington,nichoja01
3313,Andrew Nicholson,2013,2017,F,6-9,250.0,December 8 1989,St. Bonaventure,nichoan01
3314,Gaylon Nickerson,1997,1997,G,6-3,190.0,February 5 1969,Wichita State Butler County Community College Kansas State Northwestern Oklahoma State University,nickega01
3315,Carl Nicks,1981,1983,G,6-1,175.0,October 6 1958,Indiana State University,nicksca01
3316,Rich Niemann,1969,1972,C,7-0,245.0,July 2 1946,Saint Louis,niemari01
3317,Richie Niemiera,1949,1950,G-F,6-1,165.0,May 26 1921,Notre Dame,niemiri01
3318,Mike Niles,1981,1981,F,6-6,225.0,March 31 1955,Cal State Fullerton,nilesmi01
3319,Kurt Nimphius,1982,1990,C-F,6-10,218.0,March 13 1958,Arizona State,nimphku01
3320,Daishen Nix,2022,2023,G,6-5,224.0,February 13 2002,,nixda01
3321,Dyron Nix,1990,1990,F,6-7,210.0,February 11 1967,Tennessee,nixdy01
3322,Norm Nixon,1978,1989,G,6-2,170.0,October 11 1955,Duquesne,nixonno01
3323,Zeke Nnaji,2021,2023,F,6-9,240.0,January 9 2001,Arizona,nnajize01
3324,Joakim Noah,2008,2020,C,6-11,230.0,February 25 1985,Florida,noahjo01
3325,Chuck Noble,1956,1962,G,6-4,190.0,July 24 1931,Louisville,noblech01
3326,Andres Nocioni,2005,2012,F,6-7,225.0,November 30 1979,,nocioan01
3327,David Noel,2007,2007,F,6-6,230.0,February 27 1984,UNC,noelda01
3328,Nerlens Noel,2015,2023,C-F,6-11,220.0,April 10 1994,Kentucky,noelne01
3329,Paul Noel,1948,1952,F,6-4,185.0,August 17 1924,Kentucky,noelpa01
3330,Lucas Nogueira,2015,2018,C,7-0,241.0,July 26 1992,,noguelu01
3331,Jim Nolan,1950,1950,C,6-8,210.0,June 9 1927,Georgia Tech,nolanji01
3332,Paul Nolen,1954,1954,C,6-10,,September 3 1929,Texas Tech,nolenpa01
3333,Jeff Nordgaard,1998,1998,F,6-7,225.0,February 23 1973,Green Bay,nordgje01
3334,Bevo Nordmann,1962,1965,C,6-10,225.0,December 11 1939,Saint Louis,nordmbe01
3335,Johnny Norlander,1947,1951,F,6-3,180.0,March 5 1921,Hamline University,norlajo01
3336,Connie Norman,1975,1979,G,6-3,175.0,September 24 1953,Arizona,normaco01
3337,Ken Norman,1988,1997,F,6-8,215.0,September 5 1964,Illinois,normake01
3338,Audie Norris,1983,1985,C,6-9,230.0,December 18 1960,Jackson State University,norriau01
3339,Moochie Norris,1997,2006,G,6-1,175.0,July 27 1973,Auburn University of West Florida,norrimo01
3340,Sylvester Norris,1980,1980,C,6-11,220.0,February 18 1957,Jackson State University,norrisy01
3341,Zach Norvell,2020,2020,G,6-5,206.0,December 9 1997,Gonzaga,norveza01
3342,Willie Norwood,1972,1978,F,6-7,220.0,August 8 1947,Alcorn State,norwowi01
3343,George Nostrand,1947,1950,C-F,6-8,195.0,January 25 1924,Wyoming,nostrge01
3344,Stan Noszka,1947,1949,G,6-1,185.0,September 9 1920,Duquesne,noszkst01
3345,Mike Novak,1949,1954,C-F,6-9,219.0,April 23 1915,Loyola Chicago,novakmi01
3346,Steve Novak,2007,2017,F,6-10,225.0,June 13 1983,Marquette,novakst01
3347,Jaylen Nowell,2020,2023,G,6-4,201.0,July 9 1999,Washington,nowelja01
3348,Mel Nowell,1963,1968,G,6-2,170.0,December 27 1939,Ohio State,nowelme01
3349,Dirk Nowitzki,1999,2019,F,7-0,245.0,June 19 1978,,nowitdi01
3350,Frank Ntilikina,2018,2023,G,6-4,200.0,July 28 1998,,ntilila01
3351,Kendrick Nunn,2020,2023,G,6-2,190.0,August 3 1995,Illinois Oakland,nunnke01
3352,James Nunnally,2014,2021,F,6-7,208.0,July 14 1990,UC Santa Barbara,nunnaja01
3353,Jusuf Nurkic,2015,2023,C,6-11,290.0,August 23 1994,,nurkiju01
3354,Dennis Nutt,1987,1987,G,6-2,170.0,March 25 1963,TCU,nuttde01
3355,David Nwaba,2017,2022,G,6-5,219.0,January 14 1993,Cal Poly,nwabada01
3356,Jordan Nwora,2021,2023,F,6-8,225.0,September 9 1998,Louisville,nworajo01
3357,Julius Nwosu,1995,1995,C,6-10,255.0,May 1 1971,Liberty,nwosuju01
3358,Charles O'Bannon,1998,1999,G-F,6-5,209.0,February 22 1975,UCLA,obannch01
3359,Ed O'Bannon,1996,1997,F,6-8,222.0,August 14 1972,UCLA,obanned01
3360,John O'Boyle,1953,1953,G,6-2,185.0,March 7 1928,Colorado State,oboyljo01
3361,Bob O'Brien,1948,1949,F,6-4,190.0,January 26 1927,Pepperdine,obriebo01
3362,J.J. O'Brien,2016,2016,F,6-7,228.0,April 8 1992,San Diego State,obriejj01
3363,Jim O'Brien,1974,1975,F,6-7,200.0,November 7 1951,Maryland,obrieji02
3364,Jimmy O'Brien,1972,1975,G,6-1,170.0,April 9 1950,Boston College,obrieji01
3365,Ralph O'Brien,1952,1953,G,5-9,160.0,April 8 1928,Butler,obriera01
3366,Johnny O'Bryant,2015,2018,F-C,6-9,257.0,June 1 1993,LSU,obryajo01
3367,Patrick O'Bryant,2007,2010,C,7-0,260.0,June 20 1986,Bradley,obryapa01
3368,Dermie O'Connell,1949,1950,G,6-0,174.0,April 13 1928,Holy Cross,oconnde01
3369,Andy O'Donnell,1950,1950,G,6-1,180.0,March 10 1925,Loyola (MD),odonnan01
3370,Buddy O'Grady,1947,1949,G,5-11,160.0,January 19 1920,Georgetown,ogradbu01
3371,Fran O'Hanlon,1971,1971,G,6-1,175.0,August 24 1948,Villanova,ohanlfr01
3372,Dick O'Keefe,1948,1951,G-F,6-2,185.0,September 29 1923,Santa Clara,okeefdi01
3373,Tommy O'Keefe,1951,1951,G,6-2,185.0,June 3 1928,Georgetown,okeefto01
3374,Mike O'Koren,1981,1988,F-G,6-7,207.0,February 7 1958,UNC,okoremi01
3375,Grady O'Malley,1970,1970,F,6-5,205.0,April 25 1948,Manhattan College,omallgr01
3376,Jermaine O'Neal,1997,2014,C-F,6-11,226.0,October 13 1978,,onealje01
3377,Shaquille O'Neal,1993,2011,C,7-1,325.0,March 6 1972,LSU,onealsh01
3378,Royce O'Neale,2018,2023,F,6-4,226.0,June 5 1993,Denver Baylor,onealro01
3379,Mike O'Neill,1953,1953,F,6-3,210.0,August 11 1928,California,oneilmi01
3380,Kyle O'Quinn,2013,2020,F-C,6-9,250.0,March 26 1990,Norfolk State,oquinky01
3381,Kevin O'Shea,1951,1953,G,6-2,175.0,July 10 1925,Notre Dame,osheake01
3382,Garland O'Shields,1947,1947,G-F,6-1,195.0,May 23 1921,Tennessee,oshiega01
3383,Dan O'Sullivan,1991,1996,C,6-10,250.0,March 3 1968,Fordham,osullda01
3384,Charles Oakley,1986,2004,F-C,6-8,225.0,December 18 1963,Virginia Union University,oaklech01
3385,Fabricio Oberto,2006,2011,C-F,6-10,245.0,March 21 1975,,obertfa01
3386,Daniel Ochefu,2017,2017,C,6-11,245.0,December 15 1993,Villanova,ochefda01
3387,Greg Oden,2009,2014,C,7-0,250.0,January 22 1988,Ohio State,odengr01
3388,Lamar Odom,2000,2013,F,6-10,220.0,November 6 1979,Rhode Island,odomla01
3389,Bud Ogden,1970,1971,F,6-6,215.0,December 29 1946,Santa Clara,ogdenbu01
3390,Ralph Ogden,1971,1971,F,6-5,205.0,January 25 1948,Santa Clara,ogdenra01
3391,Alan Ogg,1991,1993,C,7-2,240.0,July 5 1967,UAB,oggal01
3392,Don Ohl,1961,1970,G,6-3,190.0,April 18 1936,Illinois,ohldo01
3393,Tim Ohlbrecht,2013,2013,C,6-11,255.0,August 30 1988,,ohlbrti01
3394,Semi Ojeleye,2018,2022,F,6-6,240.0,December 5 1994,Duke SMU,ojelese01
3395,Emeka Okafor,2005,2018,C-F,6-10,252.0,September 28 1982,UConn,okafoem01
3396,Jahlil Okafor,2016,2021,C-F,6-10,270.0,December 15 1995,Duke,okafoja01
3397,Chuma Okeke,2021,2023,F,6-6,229.0,August 18 1998,Auburn,okekech01
3398,Elie Okobo,2019,2020,G,6-3,190.0,October 23 1997,,okoboel01
3399,Josh Okogie,2019,2023,G,6-4,213.0,September 1 1998,Georgia Tech,okogijo01
3400,Onyeka Okongwu,2021,2023,F,6-8,235.0,December 11 2000,USC,okongon01
3401,Isaac Okoro,2021,2023,G-F,6-5,225.0,January 26 2001,Auburn,okorois01
3402,KZ Okpala,2020,2023,F,6-8,215.0,April 28 1999,Stanford,okpalkz01
3403,Mehmet Okur,2003,2012,C-F,6-11,249.0,May 26 1979,,okurme01
3404,Victor Oladipo,2014,2022,G,6-4,213.0,May 4 1992,Indiana,oladivi01
3405,Hakeem Olajuwon,1985,2002,C,7-0,255.0,January 21 1963,Houston,olajuha01
3406,Mark Olberding,1976,1987,F,6-8,225.0,April 21 1956,Minnesota,olberma01
3407,Jawann Oldham,1981,1991,C,7-0,215.0,July 4 1957,Seattle University,oldhaja01
3408,John Oldham,1950,1951,G,6-3,175.0,June 22 1923,Western Kentucky,oldhajo01
3409,Frank Oleynick,1976,1977,G,6-2,185.0,February 20 1955,Seattle University,oleynfr01
3410,John Olive,1979,1980,F,6-7,210.0,March 1 1955,Villanova,olivejo01
3411,Brian Oliver,1991,1998,G,6-4,210.0,June 1 1968,Georgia Tech,olivebr01
3412,Cameron Oliver,2021,2022,F,6-8,239.0,July 11 1996,Nevada,oliveca01
3413,Dean Oliver,2002,2003,G,5-11,180.0,November 5 1978,Iowa,olivede01
3414,Jimmy Oliver,1992,1999,G-F,6-5,205.0,July 12 1969,Purdue,oliveji01
3415,Kevin Ollie,1998,2010,G,6-4,195.0,December 27 1972,UConn,ollieke01
3416,Gene Ollrich,1950,1950,G,5-11,160.0,June 30 1922,Drake University,ollrige01
3417,Michael Olowokandi,1999,2007,C,7-0,269.0,April 3 1975,University of the Pacific,olowomi01
3418,Bud Olsen,1963,1970,F-C,6-8,220.0,July 25 1940,Louisville,olsenbu01
3419,Kelly Olynyk,2014,2023,C-F,6-11,240.0,April 19 1991,Gonzaga,olynyke01
3420,Eugene Omoruyi,2022,2023,F,6-7,244.0,February 14 1997,Rutgers University Oregon,omorueu01
3421,Miye Oni,2020,2022,G,6-5,206.0,August 4 1997,Yale,onimi01
3422,Arinze Onuaku,2014,2017,C,6-9,255.0,July 13 1987,Syracuse,onuakar01
3423,Chinanu Onuaku,2017,2018,F-C,6-10,245.0,November 1 1996,Louisville,onuakch01
3424,Barry Orms,1969,1970,G,6-3,190.0,May 1 1946,Saint Louis,ormsba01
3425,Johnny Orr,1950,1950,F,6-3,195.0,June 10 1927,Beloit College,orrjo01
3426,Louis Orr,1981,1988,F,6-8,175.0,May 7 1958,Syracuse,orrlo01
3427,Jose Ortiz,1989,1990,F,6-10,225.0,October 25 1963,Oregon State,ortizjo01
3428,Daniel Orton,2012,2014,C-F,6-10,255.0,August 6 1990,Kentucky,ortonda01
3429,Chuck Osborne,1962,1962,F,6-6,210.0,January 21 1939,Western Kentucky,osborch01
3430,Cedi Osman,2018,2023,F,6-7,230.0,April 8 1995,,osmande01
3431,Wally Osterkorn,1952,1955,F-C,6-5,215.0,July 6 1928,Illinois,osterwa01
3432,Greg Ostertag,1996,2006,C,7-2,280.0,March 6 1973,Kansas,ostergr01
3433,Matt Othick,1993,1993,G,6-2,165.0,March 16 1969,Arizona,othicma01
3434,Don Otten,1950,1953,C,6-10,240.0,April 18 1921,Bowling Green,ottendo01
3435,Mac Otten,1950,1950,F-C,6-7,220.0,December 16 1925,Bowling Green,ottenma01
3436,Daniel Oturu,2021,2022,F-C,6-8,240.0,September 20 1999,Minnesota,oturuda01
3437,Kelly Oubre Jr.,2016,2023,F,6-7,203.0,December 9 1995,Kansas,oubreke01
3438,Bo Outlaw,1994,2008,F,6-8,210.0,April 13 1971,South Plains College Houston,outlabo01
3439,Travis Outlaw,2004,2014,F,6-9,210.0,September 18 1984,,outlatr01
3440,Claude Overton,1953,1953,G,6-2,195.0,December 16 1927,East Central University,overtcl01
3441,Doug Overton,1993,2004,G,6-3,190.0,August 3 1969,La Salle,overtdo01
3442,Andre Owens,2006,2008,G,6-4,200.0,October 31 1980,Indiana Houston,owensan01
3443,Billy Owens,1992,2001,F-G,6-8,220.0,May 1 1969,Syracuse,owensbi01
3444,Chris Owens,2003,2003,F,6-7,245.0,March 1 1979,Tulane Texas,owensch01
3445,Eddie Owens,1978,1978,F,6-7,210.0,December 26 1953,UNLV,owensed01
3446,Jim Owens,1974,1975,F,6-5,200.0,May 1 1950,Arizona State,owensji01
3447,Keith Owens,1992,1992,F,6-7,225.0,May 31 1969,UCLA,owenske01
3448,Larry Owens,2011,2012,F,6-7,210.0,January 8 1983,Oral Roberts,owensla01
3449,Red Owens,1950,1952,G-F,6-3,185.0,September 2 1925,Baylor,owensre01
3450,Tariq Owens,2020,2020,F,6-10,205.0,June 30 1995,Tennessee St. John's Texas Tech,owensta01
3451,Tom Owens,1972,1983,C-F,6-10,215.0,June 28 1949,South Carolina,owensto01
3452,Ray Owes,1997,1997,F,6-9,224.0,December 11 1972,Arizona,owesra01
3453,Olumide Oyedeji,2001,2003,C,6-10,240.0,May 11 1981,,oyedeol01
3454,Joe Pace,1977,1978,C,6-10,220.0,December 18 1953,Coppin State University,pacejo01
3455,Zaza Pachulia,2004,2019,C,6-11,270.0,February 10 1984,,pachuza01
3456,Robert Pack,1992,2004,G,6-2,180.0,February 3 1969,USC,packro01
3457,Wayne Pack,1975,1975,G,6-0,165.0,July 5 1950,Tennessee Technological University,packwa01
3458,Gerald Paddio,1991,1994,F-G,6-7,205.0,April 21 1965,UNLV,paddige01
3459,Scott Padgett,2000,2007,F,6-9,240.0,April 19 1976,Kentucky,padgesc01
3460,Dana Pagett,1972,1972,G,6-2,180.0,March 29 1949,USC,pagetda01
3461,Jaysean Paige,2022,2022,G,6-3,205.0,July 30 1994,College of Southern Idaho Moberly Area Community College West Virginia,paigeja01
3462,Marcus Paige,2018,2018,G,6-1,175.0,September 11 1993,UNC,paigema01
3463,Fred Paine,1949,1949,F,6-5,210.0,December 7 1925,Westminster College of Pennsylvania,painefr01
3464,Milt Palacio,2000,2006,G,6-3,195.0,February 7 1978,Midland College Colorado State,palacmi01
3465,Togo Palazzi,1955,1960,F-G,6-4,205.0,August 8 1932,Holy Cross,palazto01
3466,Bud Palmer,1947,1949,F-C,6-4,180.0,September 14 1921,Princeton,palmebu01
3467,Errol Palmer,1968,1968,F,6-5,195.0,,DePaul,palmeer01
3468,Jim Palmer,1959,1961,F-C,6-8,224.0,June 8 1933,Dayton,palmeji01
3469,Trayvon Palmer,2022,2022,G,6-6,200.0,November 13 1994,North Dakota State College of Science Chicago State,palmetr01
3470,Walter Palmer,1991,1993,C-F,7-1,215.0,October 23 1968,Dartmouth College,palmewa01
3471,Kevin Pangos,2022,2022,G,6-2,179.0,January 26 1993,Gonzaga,pangoke01
3472,Andy Panko,2001,2001,F,6-9,222.0,November 27 1977,Lebanon Valley College,pankoan01
3473,Georgios Papagiannis,2017,2018,C,7-1,240.0,July 3 1997,,papagge01
3474,Kostas Papanikolaou,2015,2016,F,6-8,225.0,July 31 1990,,papanko01
3475,Jannero Pargo,2003,2015,G,6-1,175.0,October 22 1979,Arkansas,pargoja01
3476,Jeremy Pargo,2012,2020,G,6-2,219.0,March 17 1986,Gonzaga,pargoje01
3477,Easy Parham,1949,1951,F-G,6-3,200.0,December 27 1921,Texas Wesleyan University,parhaea01
3478,Robert Parish,1977,1997,C,7-1,230.0,August 30 1953,Centenary (LA),parisro01
3479,Med Park,1956,1960,G-F,6-2,205.0,April 11 1933,Missouri,parkme01
3480,Anthony Parker,1998,2012,G,6-6,215.0,June 19 1975,Bradley,parkean01
3481,Jabari Parker,2015,2022,F,6-8,245.0,March 15 1995,Duke,parkeja01
3482,Smush Parker,2003,2008,G,6-4,190.0,June 1 1981,Fordham,parkesm01
3483,Sonny Parker,1977,1982,F-G,6-6,200.0,March 22 1955,Texas A&M,parkeso01
3484,Tony Parker,2002,2019,G,6-2,185.0,May 17 1982,,parketo01
3485,Barry Parkhill,1974,1976,G,6-4,185.0,May 10 1951,Virginia,parkhba01
3486,Jack Parkinson,1950,1950,G,6-0,174.0,March 4 1924,Kentucky,parkija01
3487,Charley Parks,1969,1969,F,6-5,210.0,,Idaho State University,parksch01
3488,Cherokee Parks,1996,2004,C-F,6-11,235.0,October 11 1972,Duke,parksch02
3489,Rich Parks,1968,1968,F,6-7,235.0,October 28 1943,Saint Louis,parksri01
3490,Jack Parr,1959,1959,C,6-9,220.0,March 13 1936,Kansas State,parrja01
3491,Doyle Parrack,1947,1947,F-G,6-0,165.0,December 6 1921,Oklahoma State,parrado01
3492,Charlie Parsley,1950,1950,G,6-2,175.0,October 13 1925,Western Kentucky,parslch01
3493,Chandler Parsons,2012,2020,F,6-9,230.0,October 25 1988,Florida,parsoch01
3494,Eric Paschall,2020,2022,F,6-6,255.0,November 4 1996,Fordham Villanova,pascher01
3495,Anzejs Pasecniks,2020,2021,C,7-1,229.0,December 20 1995,,pasecan01
3496,Zarko Paspalj,1990,1990,F,6-9,215.0,March 27 1966,,paspaza01
3497,Marty Passaglia,1947,1949,G,6-1,170.0,April 22 1919,Santa Clara,passama01
3498,George Pastushok,1947,1947,G,6-1,195.0,July 13 1922,St. John's,pastuge01
3499,Myles Patrick,1981,1981,F,6-8,220.0,November 19 1954,Auburn,patrimy01
3500,Stan Patrick,1950,1950,F-G,6-2,185.0,May 5 1922,Illinois,patrist01
3501,Andrae Patterson,1999,2000,F,6-9,238.0,November 12 1975,Indiana,pattean01
3502,George Patterson,1968,1968,C-F,6-8,230.0,November 26 1939,Toledo,pattege01
3503,Lamar Patterson,2016,2017,G-F,6-5,225.0,August 12 1991,Pitt,pattela01
3504,Patrick Patterson,2011,2021,F,6-8,235.0,March 14 1989,Kentucky,pattepa01
3505,Ruben Patterson,1999,2008,F,6-5,224.0,July 31 1975,Cincinnati,patteru01
3506,Steve Patterson,1972,1976,C,6-9,225.0,June 24 1948,UCLA,pattest01
3507,Tom Patterson,1973,1974,F,6-6,220.0,October 15 1948,Ouachita Baptist University,patteto01
3508,Worthy Patterson,1958,1958,G,6-2,175.0,June 17 1931,UConn,pattewo01
3509,Justin Patton,2018,2021,C,6-11,241.0,June 14 1997,Creighton,pattoju01
3510,Brandon Paul,2018,2018,G,6-4,200.0,April 30 1991,Illinois,paulbr01
3511,Chris Paul,2006,2023,G,6-0,175.0,May 6 1985,Wake Forest,paulch01
3512,Charlie Paulk,1969,1972,F-C,6-8,219.0,June 14 1946,Northeastern State University,paulkch01
3513,Jerry Paulson,1958,1958,G,6-2,185.0,July 21 1935,Manhattan College,paulsje01
3514,Billy Paultz,1971,1985,C-F,6-11,235.0,July 30 1948,Cameron University St. John's,paultbi01
3515,Sasha Pavlovic,2004,2013,G-F,6-8,220.0,November 15 1983,,pavloal01
